id,d_pop,d
Bootstrap021,d_french,0.0014545909770755088
Bootstrap021,d_mbuti,-1.3814846053339467e-4
Bootstrap022,d_han,0.0014206720234537468
Bootstrap022,d_french,0.0015071695623509482
Bootstrap022,d_mbuti,-2.1695212189816096e-4
Bootstrap023,d_han,9.832412395090323e-4
Bootstrap023,d_french,7.364880589683431e-4
Bootstrap023,d_mbuti,-0.001019629235883471
Bootstrap024,d_han,0.0014652320604129478
Bootstrap024,d_french,0.0016500595429919229
Bootstrap024,d_mbuti,5.824563419004021e-5
Bootstrap025,d_han,0.001440743061107034
Bootstrap025,d_french,0.001399373729953693
Bootstrap025,d_mbuti,9.450857783220946e-4
Bootstrap026,d_han,0.001099749326607718
Bootstrap026,d_french,0.0013801731989084602
Bootstrap026,d_mbuti,1.1987699887276437e-4
Bootstrap027,d_han,0.0014074633416057694
Bootstrap027,d_french,0.0017167837207216926
Bootstrap027,d_mbuti,1.093442882660071e-4
Bootstrap028,d_han,0.0018719892200253292
Bootstrap028,d_french,0.001434089216265929
Bootstrap028,d_mbuti,2.596041053411179e-4
Bootstrap029,d_han,0.0012640978110131469
Bootstrap029,d_french,0.001241568479745782
Bootstrap029,d_mbuti,2.229668661510242e-4
Bootstrap030,d_han,0.0015829684758465088
Bootstrap030,d_french,0.0018582581805196789
Bootstrap030,d_mbuti,2.401000185617757e-4
Bootstrap031,d_han,0.0010792213388733504
Bootstrap031,d_french,0.002011791180925099
Bootstrap031,d_mbuti,1.095273199669568e-5
Bootstrap032,d_han,0.0014133124039654595
Bootstrap032,d_french,0.0010000750503368822
Bootstrap032,d_mbuti,-9.410161910903639e-5
Bootstrap033,d_han,0.0013464221114912998
Bootstrap033,d_french,0.0012129225765893123
Bootstrap033,d_mbuti,-1.3802485883385087e-4
Bootstrap034,d_han,0.0021491395764628145
Bootstrap034,d_french,0.0013670397304376648
Bootstrap034,d_mbuti,-1.6607248748841546e-4
Bootstrap035,d_han,0.0014186824679743675
Bootstrap035,d_french,0.0010632558057164104
Bootstrap035,d_mbuti,2.580083970304628e-5
Bootstrap036,d_han,0.0015918276486636444
Bootstrap036,d_french,0.0014117840038495666
Bootstrap036,d_mbuti,3.8635574341983287e-4
Bootstrap037,d_han,8.474643707058265e-4
Bootstrap037,d_french,9.943805847757682e-4
Bootstrap037,d_mbuti,7.730016177543486e-4
Bootstrap038,d_han,6.742477688129403e-4
Bootstrap038,d_french,0.0010658377469347953
Bootstrap038,d_mbuti,9.18314524517565e-5
Bootstrap039,d_han,0.001957927614498251
Bootstrap039,d_french,0.0013003615026093286
Bootstrap039,d_mbuti,3.694849876850511e-4
Bootstrap040,d_han,0.0010098706980067262
Bootstrap040,d_french,9.950513877223465e-4
Bootstrap040,d_mbuti,6.027746115984807e-4
Bootstrap041,d_han,8.369183847762159e-4
Bootstrap041,d_french,0.0010906825916930894
Bootstrap041,d_mbuti,-2.2418260356548092e-4
Bootstrap042,d_han,0.0010386859915746116
Bootstrap042,d_french,0.0016380254709289002
Bootstrap042,d_mbuti,-1.322701653097148e-4
Bootstrap043,d_han,0.0017645018379619684
Bootstrap043,d_french,0.0017941046721828618
Bootstrap043,d_mbuti,4.915783127390174e-4
Bootstrap044,d_han,0.0015417179950064305
Bootstrap044,d_french,0.0013727818924644186
Bootstrap044,d_mbuti,-1.6854731490400805e-4
Bootstrap045,d_han,9.561029464308795e-4
Bootstrap045,d_french,0.0011335826178981746
Bootstrap045,d_mbuti,-7.853348079308159e-4
Bootstrap046,d_han,8.03519592040586e-4
Bootstrap046,d_french,0.0014125122891486086
Bootstrap046,d_mbuti,3.264210669592335e-4
Bootstrap047,d_han,0.0016279615118872577
Bootstrap047,d_french,0.001513561922858638
Bootstrap047,d_mbuti,4.1020640857336035e-4
Bootstrap048,d_han,0.0015141871857023276
Bootstrap048,d_french,0.0017131027443111307
Bootstrap048,d_mbuti,4.4324303361199737e-4
Bootstrap049,d_han,0.0015510603877875759
Bootstrap049,d_french,0.001541415968367914
Bootstrap049,d_mbuti,-2.9011152858006775e-4
Bootstrap050,d_han,0.0014683494827807462
Bootstrap050,d_french,0.0012076146601524562
Bootstrap050,d_mbuti,2.785832152921543e-4
Bootstrap051,d_han,0.0017496947547913626
Bootstrap051,d_french,0.0014403973302770231
Bootstrap051,d_mbuti,1.0597811995541682e-4
Bootstrap052,d_han,0.0020086050503056556
Bootstrap052,d_french,0.0016825003987056178
Bootstrap052,d_mbuti,6.113520729945423e-5
Bootstrap053,d_han,0.001730506594614363
Bootstrap053,d_french,0.0013442356172518775
Bootstrap053,d_mbuti,6.608997464218828e-4
Bootstrap054,d_han,7.640405464346353e-4
Bootstrap054,d_french,9.86728366771866e-4
